pharmaid,atc,month,year,maxprice,ddd,inprice,generic,dddperpack,price
973,C09DA06,2,2007,233.399993896,11592.0,142.25,0,28.0,233.397037506
973,C09DA06,3,2007,234.790420532,13720.0,145.086669922,0,28.0,233.399253845
973,C09DA06,4,2007,245.399993896,11648.0,150.543334961,0,28.0,245.364360809
973,C09DA06,5,2007,245.399993896,13944.0,150.543334961,0,28.0,245.399982453
973,C09DA06,6,2007,245.399993896,12957.0,150.543334961,0,28.0,245.399982453
973,C09DA06,7,2007,245.399993896,10976.0,150.543334961,0,28.0,245.399982453
973,C09DA06,8,2007,245.399993896,11256.0,150.543334961,0,28.0,245.255599976
973,C09DA06,9,2007,245.399993896,16016.0,150.543334961,0,28.0,245.331008911
973,C09DA06,10,2007,245.399993896,19572.0,150.543334961,0,28.0,245.399982453
973,C09DA06,11,2007,245.399993896,16436.0,150.543334961,0,28.0,245.399982453
973,C09DA06,12,2007,245.399993896,19068.0,150.543334961,0,28.0,245.399982453
985,C09DA06,5,2004,755.200012207,489869.562,526.866699219,0,98.0,755.193639755
985,C09DA06,6,2004,755.200012207,634263.153999,526.866699219,0,98.0,755.193172455
985,C09DA06,7,2004,755.200012207,506436.559999,525.760009766,0,98.0,755.193779945
985,C09DA06,8,2004,755.200012207,543928.223999,525.760009766,0,98.0,755.192845344
985,C09DA06,9,2004,755.200012207,626919.033999,525.760009766,0,98.0,755.194480896
985,C09DA06,10,2004,755.200012207,606856.963998,525.760009766,0,98.0,755.186723709
985,C09DA06,11,2004,755.200012207,671152.215998,525.760009766,0,98.0,755.193639755
985,C09DA06,12,2004,755.200012207,919426.592001,527.270019531,0,98.0,755.194153786
985,C09DA06,1,2005,767.015441895,393962.057999,530.260009766,0,98.0,767.396535874
985,C09DA06,2,2005,767.5,487154.177996,530.260009766,0,98.0,767.489481926
985,C09DA06,3,2005,767.5,647294.899994,530.260009766,0,98.0,767.492986679
985,C09DA06,4,2005,767.5,672996.967998,530.260009766,0,98.0,767.488173484
985,C09DA06,5,2005,767.5,667103.051996,530.260009766,0,98.0,767.481724739
985,C09DA06,6,2005,767.5,793035.795997,530.260009766,0,98.0,767.477659225
985,C09DA06,7,2005,767.5,636663.761996,530.260009766,0,98.0,767.472472191
985,C09DA06,8,2005,767.5,731818.821996,530.260009766,0,98.0,767.477425575
985,C09DA06,9,2005,767.5,794662.203996,530.260009766,0,98.0,767.475229263
985,C09DA06,10,2005,767.5,756649.963995,530.260009766,0,98.0,767.482005119
985,C09DA06,11,2005,767.5,818620.753995,530.260009766,0,98.0,767.498874664
985,C09DA06,12,2005,767.5,1136957.28999,530.260009766,0,98.0,767.499014855
985,C09DA06,1,2006,767.5,532327.571993,530.256652832,0,98.0,767.498313904
985,C09DA06,2,2006,762.360046387,617719.087994,517.986694336,0,98.0,767.498360634
985,C09DA06,3,2006,716.799987793,856609.081987,493.633331299,0,98.0,717.300108909
985,C09DA06,4,2006,716.799987793,749435.10599,493.630004883,0,98.0,716.825939178
985,C09DA06,5,2006,716.799987793,874169.701989,493.630004883,0,98.0,716.80542469
985,C09DA06,6,2006,716.799987793,956532.429991,493.633331299,0,98.0,716.799630165
985,C09DA06,7,2006,716.799987793,785636.795989,493.630004883,0,98.0,716.799723625
985,C09DA06,8,2006,716.799987793,890589.209986,493.630004883,0,98.0,716.799863816
985,C09DA06,9,2006,716.799987793,940079.307988,493.630004883,0,98.0,716.799770355
985,C09DA06,10,2006,716.799987793,940870.167986,493.633331299,0,98.0,716.799630165
985,C09DA06,11,2006,716.799987793,986417.921987,493.630004883,0,98.0,716.799863816
985,C09DA06,12,2006,716.799987793,1326287.99798,493.633331299,0,98.0,716.803368568
985,C09DA06,1,2007,716.799987793,669806.87199,489.739990234,0,98.0,716.814023017
985,C09DA06,2,2007,716.799987793,739280.541987,483.60333252,0,98.0,716.799723625
985,C09DA06,3,2007,720.903259277,1027672.58998,491.773345947,0,98.0,716.799676895
